offset,type,seq,trailer,trailer_ok,decoded
0x0000,1,0,0x0000,True,lat=12.97160 lon=79.15840
0x0010,2,0,0x0000,True,alt=100 batt=200 baro=980 tick=0
0x0020,1,1,0x1337,True,lat=12.97170 lon=79.15850
0x0030,2,1,0x4242,True,alt=101 batt=199 baro=980 tick=1
0x0040,1,2,0x266e,True,lat=12.97180 lon=79.15860
0x0050,2,2,0x8484,True,alt=102 batt=198 baro=980 tick=2
0x0060,1,3,0x39a5,True,lat=12.97190 lon=79.15870
0x0070,2,3,0xc6c6,True,alt=103 batt=197 baro=980 tick=3
0x0080,3,3,0xdead,True,ac 98 92 c3 99 f2 93 ec
0x0090,1,4,0x4cdc,True,lat=12.97200 lon=79.15880
0x00a0,2,4,0x0908,True,alt=104 batt=196 baro=980 tick=4
0x00b0,3,0,0xdead,True,a4 c9 b5 d6 9b c1 9b c0
0x00c0,1,5,0x6013,True,lat=12.97210 lon=79.15890
0x00d0,2,5,0x4b4a,True,alt=105 batt=195 baro=980 tick=5
0x00e0,3,1,0xdead,True,bb e3 e9 99 ac d4 81 cf
0x00f0,1,6,0x734a,True,lat=12.97220 lon=79.15900
0x0100,2,6,0x8d8c,True,alt=106 batt=194 baro=980 tick=6
0x0110,1,7,0x8681,True,lat=12.97230 lon=79.15910
0x0120,2,7,0xcfce,True,alt=107 batt=193 baro=980 tick=7
0x0130,1,8,0x99b8,True,lat=12.97240 lon=79.15920
0x0140,2,8,0x1210,True,alt=108 batt=192 baro=980 tick=8
0x0150,1,9,0xacef,True,lat=12.97250 lon=79.15930
0x0160,2,9,0x5452,True,alt=109 batt=191 baro=980 tick=9
0x0170,1,10,0xc026,True,lat=12.97260 lon=79.15940
0x0180,2,10,0x9694,True,alt=110 batt=190 baro=980 tick=10
0x0190,1,11,0xd35d,True,lat=12.97270 lon=79.15950
0x01a0,2,11,0xd8d6,True,alt=111 batt=189 baro=980 tick=11
0x01b0,1,12,0xe694,True,lat=12.97280 lon=79.15960
0x01c0,2,12,0x1b18,True,alt=112 batt=188 baro=980 tick=12
0x01d0,1,13,0xf9cb,True,lat=12.97290 lon=79.15970
0x01e0,2,13,0x5d5a,True,alt=113 batt=187 baro=980 tick=13
0x01f0,3,4,0xdead,True,8d 9a ed df a3 ad de ad
0x0200,1,14,0x0d02,True,lat=12.97300 lon=79.15980
0x0210,2,14,0x9f9c,True,alt=114 batt=186 baro=980 tick=14
0x0220,1,15,0x2039,True,lat=12.97310 lon=79.15990
0x0230,2,15,0xe1de,True,alt=115 batt=185 baro=980 tick=15
0x0240,3,2,0xdead,True,92 c3 9f df 87 f2 ae cc
0x0250,1,16,0x3370,True,lat=12.97320 lon=79.16000
0x0260,2,16,0x2420,True,alt=116 batt=184 baro=980 tick=16
0x0270,1,17,0x46a7,True,lat=12.97330 lon=79.16010
0x0280,2,17,0x6662,True,alt=117 batt=183 baro=980 tick=17
0x0290,1,18,0x59de,True,lat=12.97340 lon=79.16020
0x02a0,2,18,0xa8a4,True,alt=118 batt=182 baro=980 tick=18
0x02b0,1,19,0x6d15,True,lat=12.97350 lon=79.16030
0x02c0,2,19,0xeae6,True,alt=119 batt=181 baro=980 tick=19
0x02d0,1,20,0x804c,True,lat=12.97360 lon=79.16040
0x02e0,2,20,0x2d28,True,alt=120 batt=180 baro=980 tick=20
0x02f0,1,21,0x9383,True,lat=12.97370 lon=79.16050
0x0300,2,21,0x6f6a,True,alt=121 batt=179 baro=980 tick=21
0x0310,1,22,0xa6ba,True,lat=12.97380 lon=79.16060
0x0320,2,22,0xb1ac,True,alt=122 batt=178 baro=980 tick=22
0x0330,1,23,0xb9f1,True,lat=12.97390 lon=79.16070
0x0340,2,23,0xf3ee,True,alt=123 batt=177 baro=980 tick=23
0x0350,1,24,0xcd28,True,lat=12.97400 lon=79.16080
0x0360,2,24,0x3630,True,alt=124 batt=176 baro=980 tick=24
0x0370,1,25,0xe05f,True,lat=12.97410 lon=79.16090
0x0380,2,25,0x7872,True,alt=125 batt=175 baro=980 tick=25
0x0390,1,26,0xf396,True,lat=12.97420 lon=79.16100
0x03a0,2,26,0xbab4,True,alt=126 batt=174 baro=980 tick=26
0x03b0,1,27,0x06cd,True,lat=12.97430 lon=79.16110
0x03c0,2,27,0xfcf6,True,alt=127 batt=173 baro=980 tick=27
0x03d0,1,28,0x1a04,True,lat=12.97440 lon=79.16120
0x03e0,2,28,0x3f38,True,alt=128 batt=172 baro=980 tick=28
0x03f0,1,29,0x2d3b,True,lat=12.97450 lon=79.16130
0x0400,2,29,0x817a,True,alt=129 batt=171 baro=980 tick=29
0x0410,1,30,0x4072,True,lat=12.97460 lon=79.16140
0x0420,2,30,0xc3bc,True,alt=130 batt=170 baro=980 tick=30
0x0430,1,31,0x53a9,True,lat=12.97470 lon=79.16150
0x0440,2,31,0x05fe,True,alt=131 batt=169 baro=980 tick=31
0x0450,1,32,0x66e0,True,lat=12.97480 lon=79.16160
0x0460,2,32,0x4840,True,alt=132 batt=168 baro=980 tick=32
0x0470,1,33,0x7a17,True,lat=12.97490 lon=79.16170
0x0480,2,33,0x8a82,True,alt=133 batt=167 baro=980 tick=33
0x0490,1,34,0x8d4e,True,lat=12.97500 lon=79.16180
0x04a0,2,34,0xccc4,True,alt=134 batt=166 baro=980 tick=34
0x04b0,1,35,0xa085,True,lat=12.97510 lon=79.16190
0x04c0,2,35,0x0f06,True,alt=135 batt=165 baro=980 tick=35
0x04d0,1,36,0xb3bc,True,lat=12.97520 lon=79.16200
0x04e0,2,36,0x5148,True,alt=136 batt=164 baro=980 tick=36
0x04f0,1,37,0xc6f3,True,lat=12.97530 lon=79.16210
0x0500,2,37,0x938a,True,alt=137 batt=163 baro=980 tick=37
0x0510,1,38,0xda2a,True,lat=12.97540 lon=79.16220
0x0520,2,38,0xd5cc,True,alt=138 batt=162 baro=980 tick=38
0x0530,1,39,0xed61,True,lat=12.97550 lon=79.16230
0x0540,2,39,0x180e,True,alt=139 batt=161 baro=980 tick=39
0x0550,1,40,0x0098,True,lat=12.97560 lon=79.16240
0x0560,2,40,0x5a50,True,alt=140 batt=160 baro=980 tick=40
0x0570,1,41,0x13cf,True,lat=12.97570 lon=79.16250
0x0580,2,41,0x9c92,True,alt=141 batt=159 baro=980 tick=41
0x0590,1,42,0x2706,True,lat=12.97580 lon=79.16260
0x05a0,2,42,0xded4,True,alt=142 batt=158 baro=980 tick=42
0x05b0,1,43,0x3a3d,True,lat=12.97590 lon=79.16270
0x05c0,2,43,0x2116,True,alt=143 batt=157 baro=980 tick=43
0x05d0,1,44,0x4d74,True,lat=12.97600 lon=79.16280
0x05e0,2,44,0x6358,True,alt=144 batt=156 baro=980 tick=44
0x05f0,1,45,0x60ab,True,lat=12.97610 lon=79.16290
0x0600,2,45,0xa59a,True,alt=145 batt=155 baro=980 tick=45
0x0610,1,46,0x73e2,True,lat=12.97620 lon=79.16300
