offset,entropy_bits_per_byte
0x00000000,7.997084
0x00010000,7.997315
0x00020000,7.997127
0x00030000,7.997642
0x00040000,7.996717
0x00050000,7.996810
0x00060000,7.997190
0x00070000,7.997177
0x00080000,7.997247
0x00090000,7.997308
0x000a0000,7.996984
0x000b0000,7.997363
0x000c0000,7.997326
0x000d0000,7.997118
0x000e0000,7.997276
0x000f0000,7.997180
0x00100000,7.991665
0x00110000,7.997362
0x00120000,7.997134
0x00130000,7.997272
0x00140000,7.996950
0x00150000,7.997097
0x00160000,7.997195
0x00170000,7.997299
0x00180000,7.997373
0x00190000,7.997450
0x001a0000,7.997232
0x001b0000,7.997524
0x001c0000,7.997140
0x001d0000,7.997628
0x001e0000,7.997211
0x001f0000,7.997313
0x00200000,7.996660
0x00210000,7.997236
0x00220000,7.997200
0x00230000,7.997221
0x00240000,7.997258
0x00250000,7.997178
0x00260000,7.997034
0x00270000,7.996851
0x00280000,7.996723
0x00290000,7.997183
0x002a0000,7.997204
0x002b0000,7.997306
0x002c0000,7.997053
0x002d0000,7.997264
0x002e0000,7.997486
0x002f0000,7.997297
0x00300000,7.997218
0x00310000,7.996993
0x00320000,7.997233
0x00330000,7.997254
0x00340000,7.997326
0x00350000,7.996871
0x00360000,7.997275
0x00370000,7.997799
0x00380000,7.997145
0x00390000,7.997286
0x003a0000,7.997102
0x003b0000,7.996857
0x003c0000,7.997013
0x003d0000,7.997308
0x003e0000,7.997352
0x003f0000,7.997253
0x00400000,7.997035
0x00410000,7.997460
0x00420000,7.997260
0x00430000,7.997527
0x00440000,7.997449
0x00450000,7.996927
0x00460000,7.997093
0x00470000,7.996865
0x00480000,7.997056
0x00490000,7.997286
0x004a0000,7.996813
0x004b0000,7.997244
0x004c0000,7.997119
0x004d0000,7.997301
0x004e0000,7.997261
0x004f0000,7.996971
0x00500000,7.997104
0x00510000,7.997001
0x00520000,7.997318
0x00530000,7.997389
0x00540000,7.996946
0x00550000,7.997218
0x00560000,7.997172
0x00570000,7.997241
0x00580000,7.997492
0x00590000,7.996876
0x005a0000,7.996944
0x005b0000,7.997176
0x005c0000,7.997198
0x005d0000,7.996880
0x005e0000,7.996954
0x005f0000,7.997150
0x00600000,7.997490
0x00610000,7.997045
0x00620000,7.997197
0x00630000,7.997003
0x00640000,7.997416
0x00650000,7.997307
0x00660000,7.997488
0x00670000,7.997186
0x00680000,7.997250
0x00690000,7.997392
