nodes=646 queue=1138 special=120
nodes=1821 queue=3129 special=360
nodes=3056 queue=5186 special=588
nodes=4109 queue=6691 special=821
nodes=4825 queue=7754 special=953
nodes=5971 queue=9365 special=1182
nodes=6226 queue=9747 special=1226
nodes=7379 queue=11422 special=1426
nodes=7731 queue=11881 special=1497
nodes=8069 queue=12343 special=1550
nodes=8960 queue=13369 special=1746
nodes=10024 queue=14669 special=1940
nodes=11250 queue=15994 special=2179
nodes=12541 queue=17332 special=2436
nodes=13740 queue=18444 special=2656
nodes=14887 queue=19413 special=2880
nodes=16197 queue=20459 special=3160
nodes=17435 queue=21400 special=3424
nodes=17858 queue=21724 special=3500
nodes=18459 queue=22112 special=3620
nodes=19195 queue=22574 special=3784
nodes=19579 queue=22828 special=3861
nodes=20571 queue=23361 special=4071
nodes=20920 queue=23571 special=4132
nodes=22213 queue=24297 special=4382
nodes=23433 queue=24835 special=4624
nodes=24708 queue=25409 special=4890
nodes=25986 queue=25849 special=5148
nodes=27199 queue=26193 special=5420
nodes=28362 queue=26582 special=5645
nodes=29463 queue=26914 special=5857
nodes=30751 queue=27214 special=6135
nodes=31986 queue=27406 special=6404
nodes=33169 queue=27411 special=6657
nodes=34373 queue=27563 special=6887
nodes=34616 queue=27558 special=6933
nodes=35364 queue=27607 special=7063
nodes=36683 queue=27624 special=7299
nodes=37972 queue=27557 special=7575
nodes=39260 queue=27485 special=7827
nodes=40562 queue=27386 special=8092
nodes=41815 queue=27177 special=8371
nodes=43101 queue=26977 special=8625
nodes=44369 queue=26702 special=8895
nodes=45712 queue=26400 special=9181
nodes=47010 queue=26105 special=9446
nodes=48252 queue=25762 special=9689
nodes=49584 queue=25401 special=9953
nodes=49980 queue=25274 special=10034
nodes=50044 queue=25256 special=10050
nodes=50306 queue=25201 special=10091
nodes=51554 queue=24731 special=10359
nodes=52784 queue=24334 special=10591
nodes=53961 queue=23896 special=10823
nodes=55070 queue=23473 special=11053
nodes=56308 queue=22918 special=11322
nodes=57476 queue=22404 special=11557
nodes=58777 queue=21809 special=11818
nodes=59959 queue=21244 special=12051
nodes=61208 queue=20644 special=12271
nodes=62397 queue=20059 special=12522
nodes=63498 queue=19435 special=12746
nodes=64183 queue=19062 special=12883
nodes=64375 queue=18962 special=12918
nodes=65207 queue=18530 special=13095
nodes=66397 queue=17852 special=13350
nodes=67736 queue=17067 special=13589
nodes=68955 queue=16356 special=13845
nodes=70171 queue=15603 special=14096
nodes=71442 queue=14854 special=14346
nodes=72569 queue=14134 special=14574
nodes=73856 queue=13327 special=14840
nodes=75090 queue=12539 special=15057
nodes=76304 queue=11743 special=15300
nodes=77432 queue=10997 special=15506
nodes=78764 queue=10091 special=15772
nodes=78924 queue=9983 special=15809
nodes=79894 queue=9303 special=15986
nodes=81131 queue=8450 special=16233
nodes=82368 queue=7545 special=16488
nodes=83529 queue=6692 special=16719
nodes=84858 queue=5741 special=16997
nodes=86168 queue=4785 special=17269
nodes=87376 queue=3846 special=17507
nodes=88382 queue=3099 special=17703
nodes=89585 queue=2152 special=17941
nodes=90818 queue=1179 special=18189
nodes=92079 queue=188 special=18446
DONE nodes 92358 special 18497
